电影名,图片连接,电影评分,评价人数,内容简介
肖申克的救赎, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg, 9.7, 1903319人评价, 希望让人自由。
霸王别姬, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg, 9.6, 1398373人评价, 风华绝代。
阿甘正传, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1484728154.jpg, 9.5, 1447871人评价, 一部美国近现代史。
这个杀手不太冷, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg, 9.4, 1643765人评价, 怪蜀黍和小萝莉不得不说的故事。
美丽人生, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg, 9.5, 919145人评价, 最美的谎言。
泰坦尼克号, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg, 9.4, 1392214人评价, 失去的才是永恒的。 
千与千寻, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg, 9.3, 1486549人评价, 最好的宫崎骏，最好的久石让。 
辛德勒的名单, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg, 9.5, 740992人评价, 拯救一个人，就是拯救整个世界。
盗梦空间, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg, 9.3, 1396537人评价, 诺兰给了我们一场无法盗取的梦。
忠犬八公的故事, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg, 9.4, 959134人评价, 永远都不能忘记你所爱的人。
海上钢琴师, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg, 9.3, 1159768人评价, 每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
机器人总动员, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg, 9.3, 921268人评价, 小瓦力，大人生。
三傻大闹宝莱坞, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg, 9.2, 1283062人评价, 英俊版憨豆，高情商版谢耳朵。
楚门的世界, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg, 9.3, 1020270人评价, 如果再也不能见到你，祝你早安，午安，晚安。
放牛班的春天, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg, 9.3, 893472人评价, 天籁一般的童声，是最接近上帝的存在。 
星际穿越, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg, 9.3, 1032613人评价, 爱是一种力量，让我们超越时空感知它的存在。
大话西游之大圣娶亲, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg, 9.2, 1008106人评价, 一生所爱。
熔炉, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg, 9.3, 617741人评价, 我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
疯狂动物城, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg, 9.2, 1194226人评价, 迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
无间道, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg, 9.2, 823518人评价, 香港电影史上永不过时的杰作。
龙猫, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg, 9.2, 861982人评价, 人人心中都有个龙猫，童年就永远不会消失。
教父, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg, 9.3, 632416人评价, 千万不要记恨你的对手，这样会让你失去理智。
当幸福来敲门, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg, 9.1, 1029415人评价, 平民励志片。 
怦然心动, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg, 9.1, 1184201人评价, 真正的幸福是来自内心深处。
触不可及, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg, 9.2, 673167人评价, 满满温情的高雅喜剧。
蝙蝠侠：黑暗骑士, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg, 9.2, 693236人评价, 无尽的黑暗。
控方证人, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg, 9.6, 259353人评价, 比利·怀德满分作品。
活着, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg, 9.2, 534667人评价, 张艺谋最好的电影。
乱世佳人, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg, 9.3, 459175人评价, Tomorrow is another day.
末代皇帝, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg, 9.2, 469639人评价, “不要跟我比惨，我比你更惨”再适合这部电影不过了。
摔跤吧！爸爸, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg, 9.0, 1043277人评价, 你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
寻梦环游记, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503997609.jpg, 9.1, 994257人评价, 死亡不是真的逝去，遗忘才是永恒的消亡。
少年派的奇幻漂流, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg, 9.1, 982298人评价, 瑰丽壮观、无人能及的冒险之旅。
指环王3：王者无敌, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg, 9.2, 506901人评价, 史诗的终章。
飞屋环游记, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p485887754.jpg, 9.0, 908176人评价, 最后那些最无聊的事情，才是最值得怀念的。 
十二怒汉, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg, 9.4, 305544人评价, 1957年的理想主义。 
鬼子来了, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg, 9.2, 421365人评价, 对敌人的仁慈，就是对自己残忍。
天空之城, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg, 9.1, 577304人评价, 对天空的追逐，永不停止。 
何以为家, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg, 9.1, 579550人评价, 凝视卑弱生命，用电影改变命运。
大话西游之月光宝盒, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg, 9.0, 811808人评价, 旷古烁今。
哈尔的移动城堡, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg, 9.0, 658406人评价, 带着心爱的人在天空飞翔。
天堂电影院, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559577569.jpg, 9.2, 460536人评价, 那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
素媛, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg, 9.2, 408642人评价, 受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
罗马假日, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg, 9.0, 665567人评价, 爱情哪怕只有一天。
闻香识女人, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg, 9.1, 577830人评价, 史上最美的探戈。
辩护人, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg, 9.2, 410671人评价, 电影的现实意义大过电影本身。
搏击俱乐部, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg, 9.0, 608419人评价, 邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
哈利·波特与魔法石, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p804947166.jpg, 9.0, 599758人评价, 童话世界的开端。
死亡诗社, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg, 9.1, 474498人评价, 当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
窃听风暴, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg, 9.1, 391033人评价, 别样人生。
教父2, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg, 9.2, 348208人评价, 优雅的孤独。
狮子王, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.jpg, 9.0, 533767人评价, 动物版《哈姆雷特》。
指环王2：双塔奇兵, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg, 9.1, 464965人评价, 承前启后的史诗篇章。
我不是药神, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg, 9.0, 1410514人评价, 对我们国家而言，这样的电影多一部是一部。
大闹天宫, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg, 9.3, 248971人评价, 经典之作，历久弥新。
两杆大烟枪, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg, 9.1, 414650人评价, 4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
指环王1：魔戒再现, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg, 9.0, 522740人评价, 传说的开始。
飞越疯人院, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg, 9.1, 415559人评价, 自由万岁。
美丽心灵, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg, 9.0, 513799人评价, 爱是一切逻辑和原由。
饮食男女, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg, 9.1, 379689人评价, 人生不能像做菜，把所有的料都准备好了才下锅。
V字仇杀队, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg, 8.9, 728162人评价, 一张面具背后的理想与革命。
黑客帝国, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg, 9.0, 522185人评价, 视觉革命。
猫鼠游戏, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg, 9.0, 521201人评价, 骗子大师和执著警探的你追我跑故事。 
钢琴家, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792376093.jpg, 9.1, 343133人评价, 音乐能化解仇恨。
本杰明·巴顿奇事, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg, 8.9, 672798人评价, 在时间之河里感受溺水之苦。
看不见的客人, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg, 8.8, 776605人评价, 你以为你以为的就是你以为的。
让子弹飞, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg, 8.8, 1093145人评价, 你给我翻译翻译，神马叫做TMD的惊喜。
海豚湾, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg, 9.3, 274622人评价, 海豚的微笑，是世界上最高明的伪装。
西西里的美丽传说, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg, 8.9, 656363人评价, 美丽无罪。
情书, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg, 8.9, 619479人评价, 暗恋的极致。
拯救大兵瑞恩, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg, 9.0, 433844人评价, 美利坚精神输出大片No1.
小鞋子, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173580536.jpg, 9.2, 265769人评价, 奔跑的孩子是天使。
美国往事, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg, 9.2, 286609人评价, 往事如烟，无处祭奠。
音乐之声, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265302.jpg, 9.0, 400863人评价, 用音乐化解仇恨，让歌声串起美好。
穿条纹睡衣的男孩, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg, 9.1, 326416人评价, 尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
致命魔术, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg, 8.9, 575448人评价, 孪生蝙蝠侠大战克隆金刚狼。
七宗罪, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg, 8.8, 672358人评价, 警察抓小偷，老鼠玩死猫。
低俗小说, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg, 8.8, 572453人评价, 故事的高级讲法。
沉默的羔羊, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg, 8.8, 569179人评价, 安东尼·霍普金斯的顶级表演。
被嫌弃的松子的一生, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg, 8.9, 511914人评价, 以戏谑来戏谑戏谑。
蝴蝶效应, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg, 8.8, 632442人评价, 人的命运被自己瞬间的抉择改变。
绿皮书, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg, 8.9, 992507人评价, 去除成见，需要勇气。
春光乍泄, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg, 8.9, 424753人评价, 爱情纠缠，男女一致。
禁闭岛, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg, 8.8, 629937人评价, 昔日翩翩少年，今日大腹便便。
心灵捕手, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg, 8.9, 471234人评价, 人生中应该拥有这样的一段豁然开朗。
布达佩斯大饭店, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg, 8.8, 595543人评价, 小清新的故事里注入了大历史的情怀。
勇敢的心, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg, 8.9, 429618人评价, 史诗大片的典范。
剪刀手爱德华, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg, 8.7, 768239人评价, 浪漫忧郁的成人童话。
海蒂和爷爷, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg, 9.2, 223222人评价, 如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
阿凡达, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg, 8.7, 909117人评价, 绝对意义上的美轮美奂。
天使爱美丽, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg, 8.7, 738033人评价, 法式小清新。 
摩登时代, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg, 9.3, 184832人评价, 大时代中的人生，小人物的悲喜。
加勒比海盗, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg, 8.7, 601416人评价, 约翰尼·德普的独角戏。
致命ID, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg, 8.8, 527737人评价, 最不可能的那个人永远是最可能的。
喜剧之王, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg, 8.7, 623820人评价, 我是一个演员。
断背山, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513535588.jpg, 8.8, 511043人评价, 每个人心中都有一座断背山。
幽灵公主, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg, 8.9, 375398人评价, 人与自然的战争史诗。
杀人回忆, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2326071698.jpg, 8.8, 431828人评价, 关于连环杀人悬案的集体回忆。
入殓师, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p594972928.jpg, 8.8, 436452人评价, 死可能是一道门，逝去并不是终结，而是超越，走向下一程。
狩猎, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg, 9.1, 232077人评价, 人言可畏。
阳光灿烂的日子, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg, 8.8, 431462人评价, 一场华丽的意淫。
重庆森林, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg, 8.7, 541425人评价, 寂寞没有期限。
第六感, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg, 8.9, 371001人评价, 深入内心的恐怖，出人意料的结局。
请以你的名字呼唤我, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg, 8.9, 408894人评价, 沉醉在电影的情感和视听氛围中无法自拔。
小森林 夏秋篇, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg, 9.0, 275149人评价, 那些静得只能听见呼吸的日子里，你明白孤独即生活。
哈利·波特与死亡圣器(下), https://img3.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg, 8.8, 493465人评价, 10年的完美句点。
消失的爱人, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg, 8.7, 609851人评价, 年度最佳date movie。
7号房的礼物, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg, 8.9, 340319人评价, 《我是山姆》的《美丽人生》。
玛丽和马克思, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2162822165.jpg, 8.9, 319437人评价, 你是我最好的朋友，你是我唯一的朋友 。
红辣椒, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p672363704.jpg, 9.0, 256663人评价, 梦的勾结。
爱在黎明破晓前, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg, 8.8, 392367人评价, 缘分是个连绵词，最美不过一瞬。
告白, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg, 8.7, 518112人评价, 没有一人完全善，也没有一人完全恶。
一一, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg, 9.0, 238035人评价, 我们都曾经是一一。
侧耳倾听, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg, 8.9, 303931人评价, 少女情怀总是诗。
小森林 冬春篇, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2258078370.jpg, 9.0, 241791人评价, 尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
大鱼, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg, 8.8, 399030人评价, 抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
阳光姐妹淘, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg, 8.8, 434217人评价, 再多各自牛逼的时光，也比不上一起傻逼的岁月。 
射雕英雄传之东成西就, https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2535922598.jpg, 8.7, 443653人评价, 百看不厌。 
蝙蝠侠：黑暗骑士崛起, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg, 8.7, 486055人评价, 诺兰就是保证。
唐伯虎点秋香, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1946455272.jpg, 8.6, 672150人评价, 华太师是黄霑，吴镇宇四大才子之一。
超脱, https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg, 8.9, 306072人评价, 穷尽一生，我们要学会的，不过是彼此拥抱。
倩女幽魂, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg, 8.7, 476726人评价, 两张绝世的脸。 
甜蜜蜜, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg, 8.8, 349508人评价, 相逢只要一瞬间，等待却像是一辈子。
驯龙高手, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg, 8.7, 514377人评价, 和谐的生活离不开摸头与被摸头。
恐怖直播, https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg, 8.8, 420162人评价, 恐怖分子的“秋菊打官司”。
